"","Correlation","Protein","Tissue"
"75",0.629571733566045,"ENSG00000005339.15","Breast"
"76",-0.0418289022501582,"ENSG00000005379.17","Breast"
"77",0.496530991572452,"ENSG00000005381.8","Breast"
"78",0.0762122781574543,"ENSG00000005421.9","Breast"
"79",0.65690372341481,"ENSG00000005436.14","Breast"
"80",0.573405658796478,"ENSG00000005448.17","Breast"
"81",0.857101727758476,"ENSG00000005469.12","Breast"
"82",0.102935473133521,"ENSG00000005483.21","Breast"
"83",0.398867286503605,"ENSG00000005486.17","Breast"
"84",0.442675590884394,"ENSG00000005700.15","Breast"
"85",0.193113151423036,"ENSG00000005801.18","Breast"
"86",0.548284388757434,"ENSG00000005810.18","Breast"
"87",0.0771509026743446,"ENSG00000005812.11","Breast"
"88",0.566210030203234,"ENSG00000005844.18","Breast"
"89",0.731742179626099,"ENSG00000005882.12","Breast"
"90",0.74179300634103,"ENSG00000005884.18","Breast"
"91",0.30237132335675,"ENSG00000005889.15","Breast"
"92",0.528707834299943,"ENSG00000005893.16","Breast"
"93",-0.0228969754680086,"ENSG00000005961.19","Breast"
"94",0.218426156088323,"ENSG00000006007.12","Breast"
"95",0.0939130434782609,"ENSG00000006015.17","Breast"
"96",0.307541998104954,"ENSG00000006016.11","Breast"
"97",0.20920606963826,"ENSG00000006025.12","Breast"
"98",0.81790546319292,"ENSG00000006047.13","Breast"
"99",0.5426164653726,"ENSG00000006118.14","Breast"
"100",0.194395707874044,"ENSG00000006125.18","Breast"
"101",0.128910926828503,"ENSG00000006194.10","Breast"
"102",0.532258064516129,"ENSG00000006210.7","Breast"
"103",0.820928661407913,"ENSG00000006282.21","Breast"
"104",0.447749516097396,"ENSG00000006327.14","Breast"
"105",-0.0382352941176471,"ENSG00000006432.15","Breast"
"106",0.349172638143783,"ENSG00000006451.8","Breast"
"107",0.859884498912415,"ENSG00000006453.14","Breast"
"108",0.467838338365142,"ENSG00000006530.18","Breast"
"109",0.462495229363068,"ENSG00000006534.16","Breast"
"110",0.531924360400445,"ENSG00000006555.11","Breast"
"111",0.306351284296748,"ENSG00000006607.14","Breast"
"112",0.518210039164571,"ENSG00000006625.18","Breast"
"113",0.198375187454292,"ENSG00000006652.14","Breast"
"114",0.564285714285714,"ENSG00000006695.12","Breast"
"115",0.378621062306055,"ENSG00000006704.10","Breast"
"116",0.313710945370347,"ENSG00000006712.15","Breast"
"117",0.349550178456136,"ENSG00000006715.16","Breast"
"118",0.678749842575878,"ENSG00000006740.17","Breast"
"119",0.711023043192138,"ENSG00000006744.19","Breast"
"120",0.797386528565241,"ENSG00000006747.15","Breast"
"121",0.619470525331551,"ENSG00000006756.16","Breast"
"122",0.422631194785268,"ENSG00000006757.12","Breast"
"123",0.24970966642018,"ENSG00000006831.10","Breast"
"124",0.0605700376547782,"ENSG00000007047.15","Breast"
"125",0.804861815577999,"ENSG00000007062.11","Breast"
"126",0.247113754583619,"ENSG00000007080.11","Breast"
"127",0.596487543906565,"ENSG00000007168.13","Breast"
"128",0.403686536076586,"ENSG00000007202.15","Breast"
"129",0.830592893552721,"ENSG00000007237.18","Breast"
"130",0.367177722422378,"ENSG00000007255.10","Breast"
"131",0.0974309723889556,"ENSG00000007376.8","Breast"
"132",0.361286585926144,"ENSG00000007384.15","Breast"
"133",0.383690406118083,"ENSG00000007392.16","Breast"
"134",0.736863910002513,"ENSG00000007402.11","Breast"
"135",0.228275401069519,"ENSG00000007516.14","Breast"
"136",0.334408749712963,"ENSG00000007520.4","Breast"
"137",0.142891006328059,"ENSG00000007541.17","Breast"
"138",0.348731016512961,"ENSG00000007545.16","Breast"
"139",0.476023215637999,"ENSG00000007866.21","Breast"
"140",0.413978230783321,"ENSG00000007923.16","Breast"
"141",0.656846118548492,"ENSG00000007933.13","Breast"
"142",0.195806730259929,"ENSG00000008018.9","Breast"
"143",0.486831389449775,"ENSG00000008056.14","Breast"
"144",0.397604583743118,"ENSG00000008083.14","Breast"
"145",0.493545376170656,"ENSG00000008086.13","Breast"
"146",0.25498115924535,"ENSG00000008128.23","Breast"
"147",0.518906414070745,"ENSG00000008130.15","Breast"
"148",0.866654520242402,"ENSG00000008196.13","Breast"
"149",-0.018765525539975,"ENSG00000008197.5","Breast"
"150",0.643544365982739,"ENSG00000008256.16","Breast"
"151",-0.122168529145273,"ENSG00000008277.14","Breast"
"152",0.544139414442862,"ENSG00000008282.8","Breast"
"153",0.548929961941646,"ENSG00000008283.16","Breast"
"154",0.658910160068062,"ENSG00000008294.21","Breast"
"155",0.41978021978022,"ENSG00000008300.17","Breast"
"156",0.730896312317156,"ENSG00000008311.15","Breast"
"157",0.342657342657343,"ENSG00000008323.15","Breast"
"158",0.0771721162358416,"ENSG00000008324.11","Breast"
"159",0.121652123094589,"ENSG00000008382.15","Breast"
"160",0.59488515218126,"ENSG00000008394.13","Breast"
"161",0.367588932806324,"ENSG00000008405.12","Breast"
"162",0.142254276933405,"ENSG00000008438.5","Breast"
"163",0.840276048973772,"ENSG00000008441.16","Breast"
"164",0.471721951761744,"ENSG00000008513.16","Breast"
"165",0.745864661654135,"ENSG00000008517.17","Breast"
"166",-0.170916840819358,"ENSG00000008710.20","Breast"
"167",0.675213675213675,"ENSG00000008735.14","Breast"
"168",0.258853615454462,"ENSG00000008838.20","Breast"
"169",0.480394946588624,"ENSG00000008869.12","Breast"
"170",0.198937451252093,"ENSG00000008952.17","Breast"
"171",0.0541228951188327,"ENSG00000008988.9","Breast"
"172",0.460774534281284,"ENSG00000009307.16","Breast"
"173",0.60531757650626,"ENSG00000009335.18","Breast"
"174",0.0523777265953123,"ENSG00000009724.17","Breast"
"175",0.64798698321297,"ENSG00000009765.15","Breast"
"176",0.265650985493177,"ENSG00000009780.15","Breast"
"177",0.768242000553115,"ENSG00000009790.15","Breast"
"178",0.487218045112782,"ENSG00000009830.11","Breast"
"179",0.638158062072412,"ENSG00000009844.16","Breast"
"180",0.381362233271575,"ENSG00000009954.11","Breast"
"181",0.394426022107679,"ENSG00000010017.13","Breast"
"182",0.203559510567297,"ENSG00000010072.16","Breast"
"183",0.655112494959716,"ENSG00000010165.20","Breast"
"184",0.218946455749145,"ENSG00000010244.18","Breast"
"185",0.136084352869188,"ENSG00000010256.11","Breast"
"186",0.496651001330308,"ENSG00000010278.14","Breast"
"187",0.744245048921096,"ENSG00000010292.13","Breast"
"188",0.247882552230378,"ENSG00000010295.19","Breast"
"189",0.822344322344322,"ENSG00000010319.7","Breast"
"190",0.361977279114429,"ENSG00000010322.16","Breast"
"191",0.642504877755937,"ENSG00000010327.10","Breast"
"192",0.229534350120215,"ENSG00000010404.18","Breast"
"193",-0.406862745098039,"ENSG00000010539.11","Breast"
"194",0.668971041839285,"ENSG00000010610.10","Breast"
"195",0.725509289916516,"ENSG00000010671.16","Breast"
"196",0.322297061888344,"ENSG00000010704.18","Breast"
"197",0.214289307362574,"ENSG00000010803.16","Breast"
"198",0.592710939467195,"ENSG00000010810.17","Breast"
"199",0.423012028589729,"ENSG00000010818.10","Breast"
"200",0.54020560250183,"ENSG00000010932.17","Breast"
"201",0.281463190695434,"ENSG00000011007.12","Breast"
"202",0.46907914042325,"ENSG00000011009.11","Breast"
"203",0.68643157873323,"ENSG00000011028.14","Breast"
"204",0.354602144224414,"ENSG00000011105.14","Breast"
"205",0.189500067741498,"ENSG00000011132.12","Breast"
"206",0.57534027072401,"ENSG00000011143.17","Breast"
"207",0.230256717935366,"ENSG00000011198.10","Breast"
"208",0.757385566915948,"ENSG00000011201.12","Breast"
"209",0.325312305710394,"ENSG00000011243.18","Breast"
"210",0.362091736800373,"ENSG00000011258.16","Breast"
"211",0.536734732119288,"ENSG00000011260.14","Breast"
"212",0.310640510764192,"ENSG00000011275.18","Breast"
"213",0.72533681105264,"ENSG00000011295.16","Breast"
"214",0.203645650896212,"ENSG00000011304.20","Breast"
"215",0.160223439831851,"ENSG00000011332.19","Breast"
"216",0.727435001218385,"ENSG00000011347.10","Breast"
"217",0.523822507855472,"ENSG00000011376.12","Breast"
"218",0.438129271139654,"ENSG00000011405.13","Breast"
"219",0.64754427353637,"ENSG00000011422.12","Breast"
"220",0.828024895241168,"ENSG00000011426.11","Breast"
"221",0.349251244553929,"ENSG00000011451.21","Breast"
"222",0.521640754965094,"ENSG00000011454.17","Breast"
"223",0.674631951348941,"ENSG00000011465.17","Breast"
"224",0.369070481882898,"ENSG00000011478.12","Breast"
"225",0.516870527933677,"ENSG00000011485.15","Breast"
"226",0.527998509939442,"ENSG00000011523.14","Breast"
"227",0.571439701313433,"ENSG00000011566.15","Breast"
"228",0.400665398042941,"ENSG00000011600.12","Breast"
"229",0.522574122284158,"ENSG00000011638.10","Breast"
"230",0.386216567288723,"ENSG00000012048.23","Breast"
"231",0.224598948924813,"ENSG00000012061.16","Breast"
"232",0.605090627846302,"ENSG00000012171.20","Breast"
"233",0.131782125859334,"ENSG00000012174.12","Breast"
"234",0.232801231666802,"ENSG00000012211.13","Breast"
"235",0.529094076655052,"ENSG00000012223.13","Breast"
"236",0.626635753813909,"ENSG00000012660.14","Breast"
"237",0.616830913565216,"ENSG00000012779.11","Breast"
"238",0.387123434372743,"ENSG00000012822.16","Breast"
"239",0.788826282613909,"ENSG00000012963.15","Breast"
"240",0.618296861958623,"ENSG00000012983.11","Breast"
"241",0.665778118008218,"ENSG00000013016.16","Breast"
"242",0.275428738153466,"ENSG00000013275.8","Breast"
"243",0.629350567200791,"ENSG00000013288.9","Breast"
"244",0.697154296112804,"ENSG00000013364.19","Breast"
"245",0.762997224962894,"ENSG00000013374.16","Breast"
"246",0.690847445116991,"ENSG00000013375.16","Breast"
"247",0.196808510638298,"ENSG00000013392.8","Breast"
"248",0.251143142201747,"ENSG00000013441.16","Breast"
"249",0.120303349518636,"ENSG00000013503.10","Breast"
"250",0.125074887408898,"ENSG00000013523.11","Breast"
"251",0.564834481101762,"ENSG00000013561.18","Breast"
"252",0.416953122346355,"ENSG00000013563.14","Breast"
"253",0.399607095996375,"ENSG00000013573.17","Breast"
"254",0.753901129716732,"ENSG00000013583.10","Breast"
"255",0.768926974664679,"ENSG00000013588.9","Breast"
"256",0.529897470950103,"ENSG00000013725.14","Breast"
"257",0.733338414015029,"ENSG00000013810.19","Breast"
"258",0.54243069392519,"ENSG00000014123.10","Breast"
"259",0.613694106099128,"ENSG00000014138.9","Breast"
"260",0.0505359825558473,"ENSG00000014164.7","Breast"
"261",0.457412378527347,"ENSG00000014216.16","Breast"
"262",0.642320578381238,"ENSG00000014257.16","Breast"
"263",0.191121852346598,"ENSG00000014641.20","Breast"
"264",0.392399275209964,"ENSG00000014824.14","Breast"
"265",0.253981677237491,"ENSG00000014914.21","Breast"
"266",0.286693548387097,"ENSG00000014919.13","Breast"
"267",0.795851280019917,"ENSG00000015133.19","Breast"
"268",0.32122165639381,"ENSG00000015153.14","Breast"
"269",0.440376108533736,"ENSG00000015171.19","Breast"
"270",0.716901503861265,"ENSG00000015285.11","Breast"
"271",0.314794215795328,"ENSG00000015413.9","Breast"
"272",0.416710681990001,"ENSG00000015532.10","Breast"
"273",0.643312965426351,"ENSG00000015676.18","Breast"
"274",0.88219334911487,"ENSG00000016391.11","Breast"
"275",0.508875419573181,"ENSG00000016864.18","Breast"
"276",0.311049992330419,"ENSG00000017260.19","Breast"
"277",0.518332333201401,"ENSG00000017427.17","Breast"
"278",0.335566628172592,"ENSG00000017797.13","Breast"
"279",0.602830069905491,"ENSG00000018189.13","Breast"
"280",0.60755419245347,"ENSG00000018236.15","Breast"
"281",0.734972183128242,"ENSG00000018408.14","Breast"
"282",0.631502647959534,"ENSG00000018510.16","Breast"
"283",0.477065960354804,"ENSG00000018610.15","Breast"
"284",0.634098260798507,"ENSG00000018699.13","Breast"
"285",0.736650820630823,"ENSG00000019144.19","Breast"
"286",0.502339572192513,"ENSG00000019169.10","Breast"
"287",0.189285714285714,"ENSG00000019485.13","Breast"
"288",0.703064499285377,"ENSG00000019505.8","Breast"
"289",0.425974025974026,"ENSG00000019549.13","Breast"
"290",0.72362636247672,"ENSG00000019582.15","Breast"
"291",0.712821877703107,"ENSG00000019991.18","Breast"
"292",0.246368743672977,"ENSG00000019995.6","Breast"
"293",0.674592529428252,"ENSG00000020129.16","Breast"
"294",0.570391495981333,"ENSG00000020181.18","Breast"
"295",0.281205067821336,"ENSG00000020256.20","Breast"
"296",0.270424977731458,"ENSG00000020426.11","Breast"
"297",0.731041957772092,"ENSG00000020577.14","Breast"
"298",0.581373057085902,"ENSG00000020633.18","Breast"
"299",0.546673328686061,"ENSG00000020922.13","Breast"
"300",0.666923076923077,"ENSG00000021300.14","Breast"
"301",0.664468347878508,"ENSG00000021355.13","Breast"
"302",0.518480005973189,"ENSG00000021574.12","Breast"
"303",0.500639322388298,"ENSG00000021762.20","Breast"
"304",-0.0737638284720378,"ENSG00000021776.11","Breast"
"305",0.670465028872109,"ENSG00000021826.17","Breast"
"306",-0.0668058057380385,"ENSG00000021852.13","Breast"
"307",0.797815984573759,"ENSG00000022267.19","Breast"
"308",0.460783898919441,"ENSG00000022277.12","Breast"
"309",0.902195892989161,"ENSG00000022556.16","Breast"
"310",0.297925381518498,"ENSG00000022840.16","Breast"
"311",0.0906862745098039,"ENSG00000022976.15","Breast"
"312",0.215872712462322,"ENSG00000023041.11","Breast"
"313",0.455772220713207,"ENSG00000023191.17","Breast"
"314",0.211301096276545,"ENSG00000023228.14","Breast"
"315",0.540441855322448,"ENSG00000023287.13","Breast"
"316",0.636285731179495,"ENSG00000023318.8","Breast"
"317",0.117975610076757,"ENSG00000023330.15","Breast"
"318",0.512096774193548,"ENSG00000023445.16","Breast"
"319",0.238757993801074,"ENSG00000023516.9","Breast"
"320",0.361151626450566,"ENSG00000023572.9","Breast"
"321",0.248179912330856,"ENSG00000023608.5","Breast"
"322",0.224482952551828,"ENSG00000023697.13","Breast"
"323",0.683826082527352,"ENSG00000023734.11","Breast"
"324",0.641342507845162,"ENSG00000023892.11","Breast"
"325",0.542604413248582,"ENSG00000023902.14","Breast"
"326",0.652136066038377,"ENSG00000023909.10","Breast"
"327",0.401035121836847,"ENSG00000024048.10","Breast"
"328",0.648756579660723,"ENSG00000024422.12","Breast"
"329",0.363629281523685,"ENSG00000024862.17","Breast"
"330",0.558461538461538,"ENSG00000025039.15","Breast"
"331",0.268642951251647,"ENSG00000025156.13","Breast"
"332",-0.0559576050883536,"ENSG00000025293.17","Breast"
"333",0.545146933350851,"ENSG00000025708.14","Breast"
"334",0.409612232240492,"ENSG00000025770.19","Breast"
"335",0.726095233083822,"ENSG00000025772.8","Breast"
"336",0.428901436701556,"ENSG00000025796.14","Breast"
"337",0.527907812729688,"ENSG00000025800.14","Breast"
"338",0.755120427861085,"ENSG00000026025.16","Breast"
"339",0.675503575073564,"ENSG00000026103.22","Breast"
"340",0.569357529873291,"ENSG00000026297.16","Breast"
"341",0.622803897862595,"ENSG00000026508.19","Breast"
"342",0.487970813821346,"ENSG00000026652.15","Breast"
"343",0.480713033313852,"ENSG00000026751.17","Breast"
"344",0.553754380217242,"ENSG00000026950.17","Breast"
"345",0.70285228481089,"ENSG00000027001.10","Breast"
"346",0.544044692933361,"ENSG00000027075.15","Breast"
"347",0.426337618662461,"ENSG00000027697.15","Breast"
"348",0.0420358990281291,"ENSG00000027847.14","Breast"
"349",0.614636169111031,"ENSG00000027869.11","Breast"
"350",0.657064081774485,"ENSG00000028116.17","Breast"
"351",0.00588235294117647,"ENSG00000028137.19","Breast"
"352",0.409532326369934,"ENSG00000028203.18","Breast"
"353",0.349866473958117,"ENSG00000028277.21","Breast"
"354",0.284342964876013,"ENSG00000028310.18","Breast"
"355",0.809625585296279,"ENSG00000028528.15","Breast"
"356",0.393173596751933,"ENSG00000028839.10","Breast"
"357",0.329625514970355,"ENSG00000029363.17","Breast"
"358",0.444626252499194,"ENSG00000029364.12","Breast"
"359",0.149722259856388,"ENSG00000029534.21","Breast"
"360",0.516424912165515,"ENSG00000029639.11","Breast"
"361",0.924965366854758,"ENSG00000029725.17","Breast"
"362",0.79864515858742,"ENSG00000029993.15","Breast"
"363",0.117881972482898,"ENSG00000030066.13","Breast"
"364",0.311254353595493,"ENSG00000030110.13","Breast"
"365",0.559666975023127,"ENSG00000030419.16","Breast"
"366",0.274767558086383,"ENSG00000030582.18","Breast"
"367",0.660988704008623,"ENSG00000031081.11","Breast"
"368",0.261954087346025,"ENSG00000031691.7","Breast"
"369",0.545029307175768,"ENSG00000031698.13","Breast"
"370",0.383491068451663,"ENSG00000031823.14","Breast"
"371",0.360092338155342,"ENSG00000032219.19","Breast"
"372",0.148698242606663,"ENSG00000032389.12","Breast"
"373",0.340001050292072,"ENSG00000032444.16","Breast"
"374",0.645027554167775,"ENSG00000032742.17","Breast"
"375",0.269272522590338,"ENSG00000033011.13","Breast"
"376",0.572566181636094,"ENSG00000033030.15","Breast"
"377",0.2766024695816,"ENSG00000033100.16","Breast"
"378",0.771426926326408,"ENSG00000033170.17","Breast"
"379",0.643283807392271,"ENSG00000033178.13","Breast"
"380",0.723038518404233,"ENSG00000033327.13","Breast"
"381",0.453052466484348,"ENSG00000033627.16","Breast"
"382",0.204826745366966,"ENSG00000033800.13","Breast"
"383",0.440965471547603,"ENSG00000033867.16","Breast"
"384",0.701758376345027,"ENSG00000034053.14","Breast"
"385",0.655454129855035,"ENSG00000034152.19","Breast"
"386",0.563150532283857,"ENSG00000034510.6","Breast"
"387",0.0789915966386555,"ENSG00000034533.11","Breast"
"388",0.217338709677419,"ENSG00000034677.13","Breast"
"389",0.241432744832738,"ENSG00000034693.15","Breast"
"390",0.296593247986979,"ENSG00000034713.8","Breast"
"391",-0.0466665903633655,"ENSG00000034971.17","Breast"
"392",0.681323985671493,"ENSG00000035115.22","Breast"
"393",0.459827659003016,"ENSG00000035141.8","Breast"
"394",0.708348787273469,"ENSG00000035403.18","Breast"
"395",0.628841815769853,"ENSG00000035664.11","Breast"
"396",0.633741608836518,"ENSG00000035681.9","Breast"
"397",0.606296785904827,"ENSG00000035687.10","Breast"
"398",0.59736355226642,"ENSG00000035720.8","Breast"
"399",0.793502835917856,"ENSG00000035862.12","Breast"
"400",0.286977714090194,"ENSG00000035928.16","Breast"
"401",0.295474025158592,"ENSG00000036054.13","Breast"
"402",0.458392820739283,"ENSG00000036257.13","Breast"
"403",0.611822660098522,"ENSG00000036448.10","Breast"
"404",0.0371222268629608,"ENSG00000036473.8","Breast"
"405",0.389285207267545,"ENSG00000036549.13","Breast"
"406",0.422735242548218,"ENSG00000037042.9","Breast"
"407",0.0655100817343304,"ENSG00000037241.7","Breast"
"408",0.274509803921569,"ENSG00000037280.16","Breast"
"409",0.754807285716103,"ENSG00000037474.15","Breast"
"410",0.388848054754895,"ENSG00000037637.11","Breast"
"411",0.0260289210233593,"ENSG00000037749.12","Breast"
"412",0.666636182640544,"ENSG00000037757.14","Breast"
"413",0.334219060937508,"ENSG00000037897.17","Breast"
"414",0.034954193093728,"ENSG00000037965.6","Breast"
"415",0.547695580189299,"ENSG00000038002.9","Breast"
"416",0.369876098357746,"ENSG00000038210.14","Breast"
"417",0.297193393779172,"ENSG00000038219.13","Breast"
"418",0.413089611289992,"ENSG00000038274.17","Breast"
"419",0.679324530353716,"ENSG00000038358.15","Breast"
"420",0.635946855114406,"ENSG00000038382.20","Breast"
"421",0.696418984740663,"ENSG00000038427.16","Breast"
"422",0.374053713612777,"ENSG00000038532.16","Breast"
"423",0.477529384144139,"ENSG00000038945.15","Breast"
"424",0.586673847293188,"ENSG00000039068.19","Breast"
"425",0.0452463092490536,"ENSG00000039123.16","Breast"
"426",0.503323731111389,"ENSG00000039319.17","Breast"
"427",0.499359825676503,"ENSG00000039523.20","Breast"
"428",0.33938674998068,"ENSG00000039537.13","Breast"
"429",0.542306057430757,"ENSG00000039560.14","Breast"
"430",0.413502281205059,"ENSG00000039650.12","Breast"
"431",-0.21405653170359,"ENSG00000040199.18","Breast"
"432",0.551459274249514,"ENSG00000040275.17","Breast"
"433",0.62731436120693,"ENSG00000040341.18","Breast"
"434",0.42006462892645,"ENSG00000040633.13","Breast"
"435",0.551458185460131,"ENSG00000040933.16","Breast"
"436",0.760685410807137,"ENSG00000041353.10","Breast"
"437",0.281863554649451,"ENSG00000041357.16","Breast"
"438",0.761320527148635,"ENSG00000041802.11","Breast"
"439",0.312576312576313,"ENSG00000041880.14","Breast"
"440",0.652976063464196,"ENSG00000041982.16","Breast"
"441",0.711854704789348,"ENSG00000042088.14","Breast"
"442",0.560510503403346,"ENSG00000042286.15","Breast"
"443",0.0966218994767371,"ENSG00000042429.12","Breast"
"444",0.651524595449835,"ENSG00000042445.14","Breast"
"445",0.595596080467821,"ENSG00000042493.16","Breast"
"446",0.336572593880341,"ENSG00000042753.12","Breast"
"447",-0.121346081078723,"ENSG00000042832.12","Breast"
"448",0.245098039215686,"ENSG00000042980.13","Breast"
"449",0.663414634146342,"ENSG00000043039.7","Breast"
"450",0.41270083456716,"ENSG00000043093.15","Breast"
"451",0.732287692833972,"ENSG00000043143.20","Breast"
"452",0.770882905431214,"ENSG00000043462.12","Breast"
"453",0.40457799372894,"ENSG00000043514.17","Breast"
"454",0.298574651619815,"ENSG00000044090.10","Breast"
"455",0.156073867388754,"ENSG00000044115.21","Breast"
"456",0.475420582672972,"ENSG00000044446.12","Breast"
"457",0.233208255159475,"ENSG00000044459.15","Breast"
"458",0.632136752136752,"ENSG00000044524.11","Breast"
"459",0.545567551567042,"ENSG00000044574.8","Breast"
"460",0.602783526486137,"ENSG00000046604.13","Breast"
"461",0.24903129657228,"ENSG00000046647.13","Breast"
"462",0.472877237491283,"ENSG00000046651.15","Breast"
"463",0.232198142414861,"ENSG00000046889.19","Breast"
"464",0.420267716225035,"ENSG00000047056.16","Breast"
"465",0.524337122928296,"ENSG00000047188.16","Breast"
"466",0.728976173232175,"ENSG00000047230.15","Breast"
"467",0.216199738038461,"ENSG00000047249.18","Breast"
"468",0.19565456716396,"ENSG00000047315.17","Breast"
"469",-0.134920634920635,"ENSG00000047346.12","Breast"
"470",0.26422785609089,"ENSG00000047365.12","Breast"
"471",0.366842740837673,"ENSG00000047410.14","Breast"
"472",0.076039960777715,"ENSG00000047457.14","Breast"
"473",0.476584675305204,"ENSG00000047578.13","Breast"
"474",0.14068745005288,"ENSG00000047579.20","Breast"
"475",-0.0442494212298911,"ENSG00000047621.12","Breast"
"476",0.798124149854473,"ENSG00000047644.19","Breast"
"477",0.589642324888226,"ENSG00000047648.23","Breast"
"478",0.635911141181788,"ENSG00000047849.21","Breast"
"479",0.53634479158753,"ENSG00000047932.14","Breast"
"480",0.626055735935713,"ENSG00000048028.11","Breast"
"481",0.497058823529412,"ENSG00000048052.21","Breast"
"482",0.649502012787881,"ENSG00000048162.21","Breast"
"483",-0.0893812070282658,"ENSG00000048342.16","Breast"
"484",0.677681639627882,"ENSG00000048392.12","Breast"
"485",0.137653755450684,"ENSG00000048405.10","Breast"
"486",0.219793443572852,"ENSG00000048462.11","Breast"
"487",0.731466333576196,"ENSG00000048471.14","Breast"
"488",0.226222150917053,"ENSG00000048544.6","Breast"
"489",0.43103588485798,"ENSG00000048649.13","Breast"
"490",0.501181272548735,"ENSG00000048707.15","Breast"
"491",0.749433081666893,"ENSG00000048740.18","Breast"
"492",0.597264913861965,"ENSG00000048828.17","Breast"
"493",0.362945688533949,"ENSG00000048991.16","Breast"
"494",0.481085728334835,"ENSG00000049089.15","Breast"
"495",0.688097562037413,"ENSG00000049130.16","Breast"
"496",0.322311540655611,"ENSG00000049167.14","Breast"
"497",0.608505824384459,"ENSG00000049239.13","Breast"
